zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,power,test_FLAG
0.33,1.01,1.00127140891793,-0.000283532961187516,0.000613174898207852,-0.00346596816262146,0.00226092337103914,-0.000393583844462504,0,1
0.33,1.02,1.00254492508492,-9.6254039283512E-05,0.000505483793136951,-0.00625642076853742,0.00363606132630372,-0.000331416591084274,-7.00107970953095E-19,1
0.33,1.03,1.01580690449566,-0.0181766459671801,0.00274950022459654,-0.00198375067142154,0.00192460205436404,-0.000318283345454777,0,1
0.33,1.04,1.01691767423522,-0.0179631472889065,0.00258648192528003,-0.00420532554612793,0.0028086821017478,-0.000142080596745731,0,1
0.33,1.05,1.01717188031238,-0.0179066137784831,0.00262424775693076,-0.00471588843995659,0.00312774253602847,-0.000299124270144524,-4.33398412825356E-20,1
0.33,1.06,1.01632588373577,-0.016244930649092,-0.000851998809150982,-0.000749661635136061,0.00264912684504964,-0.00112621812177711,0,1
0.34,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-8.31377952596153E-20,1
0.34,1.01,1.00122072236442,-0.000316520335683168,0.000533362693445709,-0.00364882562194591,0.00305946298303117,-0.000845783166809393,0,1
0.34,1.02,1.00117972563374,-0.000415318290782646,0.000731047219154617,-0.00385523393011434,0.00378788500781139,-0.00142572942075445,0,1
0.35,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-8.07624315272944E-20,1
0.35,1.01,1.00152062146102,-8.48476467372095E-05,0.000288578211392017,-0.00361535125636701,0.00197663262221077,-8.32083817934784E-05,-3.97065712644278E-19,1
0.35,1.02,1.00226154841264,-4.4388544559016E-05,0.000348945696118544,-0.0054130831259071,0.00323843130648214,-0.000389078871358653,0,1
0.35,1.03,1.0032925465035,-6.98894949335008E-05,7.54215035191007E-05,-0.00674938176352332,0.00376370747291759,-0.000310077335507852,0,1
0.36,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-7.85190323470341E-20,1
0.36,1.01,1.00149902679526,-0.00011329105147241,0.000698269270650614,-0.00348968200914606,0.000907685940224591,0.000500416446643173,-5.55374581520205E-19,1
0.36,1.02,1.00155097645954,-0.000442307481637396,0.00126925205440037,-0.00505824005119077,0.00362864940321173,-0.000945954689395976,0,1
0.36,1.03,1.00144715589518,-0.000468600779902487,0.00144579933759992,-0.00474720074271229,0.00351051355512531,-0.00118533908273676,0,1
0.37,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-7.63968978981569E-20,1
0.37,1.01,1.00063323310308,-0.000470954111443694,0.00073751918669098,-0.00254841609071751,0.00276861246810044,-0.00111757414703604,0,1
0.37,1.02,1.0012734000286,-0.00043153900540809,0.000787704662378925,-0.00416082550640139,0.00393154651110729,-0.00139790702801453,-7.35430185484648E-19,1
0.37,1.03,1.00209167493739,-0.000575367924335803,0.00113268955108578,-0.00532696331324345,0.0036433328172614,-0.000963035159705397,-1.04903032365491E-19,1
0.37,1.04,1.00204129652804,-0.000573898148930905,0.00127567870962296,-0.00512781034226724,0.00357330665893666,-0.00118629042908314,0,1
0.37,1.05,1.00194541608778,-0.000386938200444532,0.00117628868102216,-0.00421985010860495,0.00230861346973291,-0.000821283250985335,-3.84483875144998E-19,1
0.37,1.06,1.0025970710189,-0.000317397428849954,0.00116674367042529,-0.00561059685193098,0.00318489822624747,-0.0010185213884489,-1.58810616745543E-19,1
0.37,1.07,1.00293116028351,-0.000198452123115929,0.00112192522235913,-0.00609242256165427,0.00316356433043026,-0.000923611453223253,-7.02609255804018E-19,1
0.38,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-7.43864546560925E-20,1
0.38,1.01,1.00038695962028,-0.000606334130240465,0.00076489487358958,-0.00236613377677873,0.0034729872071996,-0.00164995143102326,0,1
0.38,1.02,1.0008484729239,-0.000503115362572646,0.000783689915325568,-0.00316433637503279,0.00367891407307821,-0.00164125106787734,0,1
0.39,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-7.24791109955413E-20,1
0.39,1.01,1.00044605791851,-0.000539197548972884,0.000713930277090791,-0.0024066226966637,0.00332620360570871,-0.00153795149856029,0,1
0.39,1.02,1.00083854645132,-0.000556580786874593,0.000815124988911323,-0.00355364271147816,0.00440588335269011,-0.00194694948820282,-1.08288219445524E-18,1
0.4,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-7.06671344531494E-20,1
0.4,1.01,1.00004364957881,-0.000705256670967956,0.000822512585648255,-0.00192011038870161,0.00385570051796986,-0.00209407492808251,0,1
0.4,1.02,1.00020741669814,-0.000742646664512657,0.000964973426216894,-0.00243968036854753,0.00446357719903578,-0.00245125927544688,-8.23584360769163E-19,1
0.41,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.89435469517311E-20,1
0.41,1.01,1.00014702942542,-0.000600140444100391,0.000717148231178656,-0.00192168190628857,0.00351547648741885,-0.00185541194598521,0,1
0.41,1.02,1.00121982627857,-0.000345156761068894,0.000535699374000661,-0.00385853946117559,0.00390867849787278,-0.0014581280259234,-7.33631682061674E-19,1
0.41,1.03,1.00208050649903,-0.000273478676287722,-0.000336774427964878,-0.00442844003189651,0.00474725871542793,-0.00178674178967553,0,1
0.41,1.04,1.00487550543195,-0.00598641163091377,0.00681899737761086,-0.00641829364904472,-0.000772029037402508,0.00148451610993064,-8.65346545625627E-21,1
0.41,1.05,1.01100584431913,-0.0149379728058172,0.00933355201149487,-0.00726252240565903,0.0018168064352642,4.65344422110812E-05,0,1
0.41,1.06,1.01149569975428,-0.0151114340061211,0.00874910677367715,-0.00663739291750409,0.00154457034400007,-3.83509006632753E-05,-2.61702005322427E-20,1
0.42,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.73020349924495E-20,1
0.42,1.01,0.999967338853786,-0.00074947595138255,0.000841414536647803,-0.00196166987148974,0.00423483424390133,-0.00233002081243932,0,1
0.42,1.02,1.00138905477318,-0.000438272695061944,0.000599551002926815,-0.00457265820596572,0.00481813012614053,-0.0017934274958373,-2.31035378331905E-19,1
0.43,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.57368723783137E-20,1
0.43,1.01,1.00004291243917,-0.000632160142498871,0.000729969247935179,-0.00177727538120112,0.00359780753967731,-0.0019588309880811,0,1
0.43,1.02,1.00065443049117,-0.000635288639048522,0.000832936132620915,-0.00336339893458541,0.00484685503258932,-0.0023331575569047,-2.91537760384063E-20,1
0.44,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.42428534753735E-20,1
0.44,1.01,1.00011663044393,-0.000519437237606148,0.000622543559863984,-0.00159746444786691,0.00297945455269403,-0.00159930260249894,-1.14583424475664E-19,1
0.44,1.02,1.00056461452335,-0.000642587872847627,0.000837769532233783,-0.0031691070305464,0.0047341522213062,-0.00232246076555149,-7.48641124242121E-19,1
0.44,1.03,1.00050288199853,-0.000622126435984938,0.000959235720403121,-0.00287561818139403,0.00457864745359463,-0.00254069300153276,0,1
0.44,1.04,1.00415430580332,-0.00366264326234857,-0.000359308462622506,-0.00198242742197095,0.0040937096648655,-0.00224134825493289,-4.64223651769185E-19,1
0.44,1.05,1.00433727671566,-0.00368174067238824,-0.000222106638174395,-0.00254362306921119,0.00479737985171365,-0.00268494938114823,0,1
0.45,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.28152353724168E-20,1
0.45,1.01,1.00017451349774,-0.000423655647516597,0.000530570906551546,-0.00144567123464417,0.00247157053047174,-0.00130490244600855,-3.6738043123321E-19,1
0.45,1.02,1.00063483514054,-0.000603930958715045,0.000817620637917407,-0.00323272883906485,0.00462629713673068,-0.00223971727525078,0,1
0.45,1.03,1.0010992077102,-0.000492405015283432,0.000801145088478913,-0.00408292409088586,0.00495098422804126,-0.0022736776005534,0,1
0.45,1.04,0.997969991709249,0.000351495881604684,0.00901704675134386,-0.00778433287248874,-0.00066400791654209,0.00111209560514416,0,1
0.46,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.14496875850498E-20,1
0.46,1.01,0.999833054489201,-0.000674679592383522,0.000787313820834627,-0.00132155857814431,0.00334226694754621,-0.00196396979540686,-6.19016975654735E-19,1
0.46,1.02,1.00004167524445,-0.000860591870087894,0.00108288454462427,-0.00251911751445757,0.00518007388421527,-0.00292254614042673,-2.8004860063184E-19,1
0.46,1.03,1.00449554748165,-0.00208887572004358,0.00249501240654266,-0.00762951497118209,0.00155936653870329,0.00117079368156084,0,1
0.47,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-6.01422481805281E-20,1
0.47,1.01,0.999885844199013,-0.000591949691611301,0.000707152856536637,-0.00119801268223116,0.00290909893721835,-0.00170970502787096,-8.4767227014764E-19,1
0.47,1.02,1.00005970113809,-0.000868826174297092,0.00109534350071561,-0.00261173873832888,0.00527392357039498,-0.00294602396669584,-4.62856292312615E-19,1
0.48,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.88892853869825E-20,1
0.48,1.01,0.999937618474633,-0.000512149219677033,0.00062977673206655,-0.00107741001586239,0.00248697406748678,-0.0014623802648671,-1.0597422947019E-18,1
0.48,1.02,1.00008843395363,-0.00086534848203739,0.00110595605735132,-0.00269394430216591,0.00533616967646864,-0.00296889110293167,0,1
0.48,1.03,1.00022528384961,-0.000843484803608053,0.000983881983810473,-0.0024463838704862,0.0052028691765451,-0.00311983911143022,0,1
0.48,1.04,1.00317731801446,0.00164736128689831,-0.000377301436883914,-0.00810973460856962,0.0031837895338875,0.000480859708605313,-7.06537667419935E-19,1
0.48,1.05,1.00251422805067,0.000133893287630951,6.60467413434983E-06,-0.00555937318870386,0.00446961868345183,-0.00156273545048387,0,1
0.48,1.06,1.00324496330434,0.000282342083692451,-7.06882007257839E-05,-0.00694516705508581,0.00489360322492538,-0.00140285211664675,0,1
0.49,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.76874639035523E-20,1
0.49,1.01,1.00000043858688,-0.000337825429397262,0.000461940205207925,-0.000842217843395867,0.00188415519557594,-0.00116407027001736,0,1
0.49,1.02,0.999705024189398,-0.000920062657163473,0.00114792776139731,-0.00209939025257118,0.00543862768505586,-0.00326974794933283,-3.47821949994592E-19,1
0.49,1.03,1.00008448871378,-0.000827344702511061,0.00133435096287158,-0.00270154000613121,0.00518815712352487,-0.00307578387216907,0,1
0.49,1.04,0.998855789328134,-0.000927826250759,0.00693135906799542,-0.00683459086160322,0.00363635499026758,-0.0016588049605882,0,1
0.5,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.65337152533001E-20,1
0.5,1.01,1.00009160321239,-0.000646506151846595,0.000801507357194802,-0.0017271375466339,0.00314966755412995,-0.00166670377005168,-1.195845678483E-18,1
0.5,1.02,1.00009517331827,-0.000896219795602407,0.00119827595304413,-0.00259880581000843,0.00507446246760367,-0.00287051675196896,0,1
0.5,1.03,1.00031357732888,-0.000862015540690982,0.00125524361035609,-0.00305371308873327,0.00541385812188865,-0.00306462143427825,0,1
0.51,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.54252116240183E-20,1
0.51,1.01,0.999419559682491,-0.0011504379113489,0.00127450897991988,-0.00174726331928162,0.00562217677383328,-0.00341612781101728,0,1
0.51,1.02,0.999519575697272,-0.00111392446311865,0.00132358469102309,-0.00189057463750658,0.00573385536253696,-0.00357013722825285,-4.17229524790366E-19,1
0.52,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.43593427274013E-20,1
0.52,1.01,0.999519296955196,-0.00101777617119532,0.00115074062512008,-0.00156047373909068,0.00488764792370708,-0.0029770167610825,0,1
0.52,1.02,0.99959329537029,-0.00111463336551273,0.00135471941816548,-0.00206629507827982,0.00581112750691684,-0.0035758398576077,0,1
0.53,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.33336952779332E-20,1
0.53,1.01,0.999595002377394,-0.000907353259585928,0.00104117625935125,-0.00139617706361346,0.00429383907068947,-0.00262406610859094,0,1
0.53,1.02,0.999593631001818,-0.00109254422786316,0.00133679574119342,-0.00199920546238635,0.00564906612999206,-0.00348536706668789,0,1
0.53,1.03,1.00173086717172,-0.00246504673551335,-0.000702715012335007,-0.000658820893854947,0.00603121518296141,-0.00393316995943533,0,1
0.54,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.23460347518985E-20,1
0.54,1.01,0.999654278925823,-0.000813954256980459,0.00094807785328785,-0.00126142563179327,0.00381560152047418,-0.00234015518166066,0,1
0.54,1.02,0.999544288975181,-0.00114118595104674,0.00139261742581327,-0.00204871269171333,0.00587941351649689,-0.00362404426548741,-8.38871052380368E-20,1
0.54,1.03,1.00050398226121,-0.00191372888732539,0.00166098711147086,-0.0024832720371189,0.00584580784661961,-0.00361145312110749,0,1
0.55,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.13942891363165E-20,1
0.55,1.01,0.999809925766194,-0.000678968290308787,0.000814750464358572,-0.00130839642848982,0.00344926913852529,-0.00208416474734742,0,1
0.55,1.02,0.999715967418752,-0.00105109766559492,0.00127436256497864,-0.00228022446225529,0.00576197493619538,-0.00341860077180864,-7.70585644924138E-19,1
0.56,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-5.04765344190621E-20,1
0.56,1.01,0.99984796376269,-0.000615079576345254,0.000750517481609598,-0.0012121189518194,0.00312137828259114,-0.00189024353973492,0,1
0.56,1.02,0.999734255256445,-0.00101993325875418,0.00124641816974646,-0.00224163786804682,0.00561432063703872,-0.00333104060622719,-8.08451126330287E-19,1
0.56,1.03,1.00003271011655,-0.000988734617068842,0.00133763966708249,-0.00289635203862856,0.00613427762418712,-0.00361721214487206,0,1
0.56,1.04,1.00925752251922,-0.025157902415108,0.0241153284856647,-0.00603653423991496,-0.00237386171881286,0.000197725836750118,-6.00124842383417E-19,1
0.56,1.05,1.0162626517916,-0.0222203600595367,0.00993454759271406,-0.00229110600389351,-0.00403256634912038,0.00234908279531997,-9.50612247878871E-19,1
0.56,1.06,1.0160444470912,-0.0228367065444165,0.0107688846251017,-0.0025182807185256,-0.00274493392160429,0.00128878971478222,0,1
0.56,1.07,1.01648473711393,-0.0227243721511222,0.0110566970398721,-0.00301755554127892,-0.00374239054950092,0.00194504179293309,-1.40084245311102E-19,1
0.56,1.08,1.01658649199421,-0.0226357786016115,0.0109806490279508,-0.00296450935379516,-0.00387854308342002,0.00191381506534048,-1.47861379254901E-19,1
0.56,1.09,1.01796163581195,-0.0237320993725134,0.0140564448954362,-0.00984704743959214,0.000538582923642334,0.00102456210902506,0,1
0.57,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-4.95909816062451E-20,1
0.57,1.01,0.999890262710512,-0.000548891931391216,0.000684534068080485,-0.00111054650032735,0.00276933856169235,-0.00168227793329576,0,1
0.57,1.02,0.999751199352619,-0.000995146506619029,0.00122628557212959,-0.00221239232424992,0.00548996977515902,-0.00325753356007326,-8.00444618007511E-19,1
0.57,1.03,1.00001824455993,-0.00101962997828301,0.00136045911996812,-0.00296056661519353,0.00626286827533376,-0.00365904060832513,-5.10005122249997E-19,1
0.58,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-4.87359650830875E-20,1
0.58,1.01,0.999921368859895,-0.000493988673795172,0.000628846459035179,-0.00102772522755048,0.00249367727532322,-0.0015197584147718,0,1
0.58,1.02,0.999742176261073,-0.000941576558659056,0.00120796328862734,-0.00203194533172472,0.0052299722991093,-0.00320422186968037,0,1
0.58,1.03,0.999739824987866,-0.00103345684778401,0.00139891970139048,-0.00231445558282629,0.00595316622551229,-0.00374167081313026,0,1
0.58,1.04,1.00212116729351,-0.00485710206691596,0.00530251352918201,-0.00471912369606096,0.0049772925076266,-0.00282246957951338,0,1
0.58,1.05,1.00217376750776,-0.00484694417680471,0.00538399754449472,-0.00482479176126427,0.00517444865998914,-0.00305823823876953,0,1
0.58,1.06,1.00646942344118,-0.00413024279869755,0.00439994550510718,-0.00952851250030655,0.00157255296399862,0.00121902702637023,0,1
0.58,1.07,1.00040582751527,-0.00218209528522829,0.00973579516883642,-0.00928898730938629,0.00141445910087013,-8.28394621942815E-05,-2.16663847224451E-20,1
0.58,1.08,1.00045747791192,-0.00225138290143284,0.00993235495189322,-0.00966463878777668,0.00212239174757272,-0.00059408913149893,0,1
0.59,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-4.79099321575187E-20,1
0.59,1.01,0.999949936840974,-0.000442625146831112,0.000576546632633057,-0.000950080883408466,0.00223767987786763,-0.00136903583413482,0,1
0.59,1.02,0.999755692150425,-0.000915250929010782,0.00118115205835968,-0.00199439021872714,0.0051081074090904,-0.00313294195140965,0,1
0.59,1.03,0.99975441510546,-0.0010060060529503,0.00137113864707853,-0.00227518441392477,0.00582443375109434,-0.00366646896218145,0,1
0.59,1.04,1.00041924420809,-0.000923835384002108,0.00149278459322464,-0.00368875995904031,0.00628931850705632,-0.00358646711856168,0,1
0.6,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-4.71114336503163E-20,1
0.6,1.01,0.999981311995579,-0.000390026557411429,0.00052353213815244,-0.000869602223605107,0.00196685599616037,-0.00120964869638755,0,1
0.6,1.02,0.999769547917851,-0.000892892803796922,0.00116105610757346,-0.00196734500805963,0.00500089785323701,-0.00306889529261104,0,1
0.6,1.03,0.999769725944739,-0.000981807451890124,0.00134921621014196,-0.00224509768131994,0.00570634879244527,-0.00359605745784918,0,1
0.6,1.04,0.999759937677482,-0.000719163520978197,0.0011826432641173,-0.00144080743848666,0.00439282606306351,-0.00317315125980185,0,1
0.61,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-4.63391154103614E-20,1
0.61,1.01,1.00000469538247,-0.000345593581164755,0.000477816345665136,-0.000802250304045306,0.00175024296059116,-0.00108248711004587,-7.17928124655684E-21,1
0.61,1.02,0.999782703674865,-0.000867202275437533,0.00113591475705964,-0.00193327001541188,0.00488355491914857,-0.00299933179735776,0,1
0.61,1.03,0.999784031445693,-0.000954817833524191,0.00132288386303616,-0.00220897992046161,0.00558120690525105,-0.00352199562561165,0,1
